adj_V_ws,con_V_ws,adj_V_wd,con_V_wd
0.441886354,0.401282045,0.386803954,0.26286145
0.434302045,0.562430196,0.325976698,0.180451257
0.105320602,0.481527249,0.197455169,0.22431094
0.115798035,0.550746937,0.209789064,0.430809837
0.154558406,0.421477099,0.189376083,0.354114557
0.079400815,0.462517145,0.272274167,0.462091258
0.296782368,0.288684108,0.431593461,0.571596121
0.213929844,0.376794541,0.238823836,0.381333147
0.294717481,0.279693011,0.206410699,0.260447922
0.162751005,0.427350778,0.256183013,0.332772732
0.446452983,0.474481897,0.270880971,0.097217048
0.363859296,0.270140626,0.277550265,0.082840412
0.243920127,0.288480894,0.270768053,0.056686191
0.235468538,0.42675047,0.381218673,0.236787474
0.183402018,0.287417343,0.193709803,0.329693052
0.274884073,0.276896809,0.112639542,0.294007374
0.384942956,0.413131227,0.452997676,0.592441707
0.203344916,0.323207432,0.290617292,0.069765767
0.324318257,0.307828012,0.282739782,0.051558389
0.349535656,0.279075106,0.292139348,0.070341369
0.275815474,0.283728378,0.459496907,0.417988223
0.247326861,0.273968892,0.445219833,0.413006145
0.201400945,0.277236752,0.459684621,0.427973661
0.209309603,0.332422649,0.286122389,0.11043193
0.289161508,0.322444722,0.305132711,0.115672745
0.324642091,0.264628291,0.34038929,0.151285705
0.293500308,0.173078249,0.102235825,0.322493727
0.366342318,0.3404497,0.234432984,0.216561272
0.190028724,0.180690331,0.02163378,0.103235251
0.287427149,0.175300074,0.265089472,0.242679608
0.202147153,0.15247896,0.263842768,0.263144542
0.193733571,0.173740957,0.154167915,0.169671193
0.20851608,0.198447148,0.229975843,0.207992524
0.494831497,0.187830733,0.438036276,0.418710295
0.29428029,0.289644587,0.400115847,0.356446641
0.305117939,0.539995146,0.473610925,0.45260995
0.304101958,0.426146457,0.580686166,0.562090965
0.285728823,0.234782728,0.393614179,0.371291808
0.294492778,0.209054138,0.309938655,0.260709399
0.400178709,0.142487011,0.387748157,0.339004621
0.441100228,0.428282711,0.156315033,0.088497245
0.463447128,0.147363077,0.023841689,0.100086734
0.315221419,0.149691751,0.088910207,0.065458274
0.337408769,0.420802283,0.26060933,0.237639882
0.376796229,0.283344416,0.346296711,0.323273105
0.315957885,0.489572734,0.309415399,0.289019938
0.09580626,0.407765758,0.603808701,0.589047653
0.194993608,0.478653534,0.107407552,0.0766622
0.272984018,0.345273373,0.067599199,0.066792452
0.14506429,0.385101317,0.081579596,0.085029603
0.437997404,0.162836512,0.447133098,0.42406794
0.34179462,0.254854694,0.461537931,0.422239292
0.226216266,0.137545004,0.459062476,0.43296933
0.206370321,0.33221786,0.145500779,0.111972567
0.156913548,0.393554581,0.029918559,0.120504498
0.263332804,0.144621771,0.083585962,0.155432097
0.373346103,0.147333222,0.332020024,0.317503845
0.191580772,0.332287682,0.228719404,0.236956583
0.339044604,0.15985961,0.020608667,0.037387174
0.386497709,0.151814784,0.264705131,0.27298489
0.266143624,0.311182146,0.257331081,0.263479376
0.264174834,0.199677261,0.153739387,0.163072129
0.224083619,0.184364802,0.229612381,0.238523656
0.240058039,0.139510671,0.437897702,0.445942763
0.279189563,0.161192498,0.388797251,0.388152086
0.302768389,0.142419695,0.473555208,0.480802232
0.290528402,0.142041137,0.580393471,0.587994811
0.363934183,0.236126804,0.392213482,0.39997182
0.160352847,0.310442867,0.300561544,0.300264515
0.283499661,0.297226031,0.376316241,0.376342285
0.173290308,0.282098727,0.14572138,0.145655106
0.16453484,0.292665379,0.016466118,0.029753099
0.206417223,0.281791189,0.077442637,0.077025358
0.481805801,0.267442767,0.252424652,0.254395755
0.28616413,0.298066973,0.343855416,0.351546367
0.285200582,0.297403414,0.30888236,0.316249847
0.285158693,0.299196164,0.601898268,0.609295367
0.288576778,0.305480174,0.09753299,0.096842301
0.290307545,0.264445335,0.057591291,0.055420747
0.408265187,0.517967782,0.07083464,0.073004045
0.45384986,0.396229143,0.437278033,0.437241523
0.472046604,0.315055065,0.451732859,0.449894987
0.300870245,0.301360665,0.449714306,0.448144004
0.316650096,0.291921634,0.136010303,0.135586438
0.355066032,0.37243674,0.035274435,0.054313327
0.294137404,0.292933676,0.08922903,0.10874575
0.064920993,0.295550756,0.331532712,0.339191745
0.104499296,0.36265504,0.228184051,0.237307286
0.025592974,0.351214442,0.024880589,0.068140812
