"","cnt_av","cnt_sd","diab_av","diab_sd"
"OTU_26",0.00459136830862583,0.00960002426593245,0.00510915876494264,0.00965776781221733
"OTU_4151",0.000629794731126023,0.00240946476139177,0.000196622574709697,0.00125899877375011
"OTU_2125",0.00177206053433985,0.010304129398784,0,0
"OTU_1631",0.00379731237324849,0.0191510631217617,0.000427903479901652,0.00230653445813975
"OTU_2092",0.0165305448863618,0.0873062121728496,0.00864563182305348,0.0477226622204674
"OTU_3125",0,0,0,0
"OTU_2877",0,0,0.00017852877294675,0.00114314191313448
"OTU_5580",5.14017778846935e-05,0.000462616000962241,0,0
"OTU_2641",0.000826929247253794,0.00516119564393375,0,0
"OTU_6181",0.000293002943214565,0.00263702648893108,0,0
"OTU_2413",0,0,0.000126649868252354,0.000670334793010452
"OTU_814",4.73804195204486e-05,0.000426423775684037,0.000660293666647705,0.00364594546652916
"OTU_5067",0,0,7.9417299390909e-05,0.000508518834601391
"OTU_8593",8.87029674690737e-05,0.000798326707221663,0,0
"OTU_7072",7.72692350720274e-05,0.000524801532185328,0,0
"OTU_5815",0,0,7.14115091786998e-05,0.000457256765253791
"OTU_2296",6.08450385332097e-05,0.000406187195219582,0.000355405906549374,0.00203105989806337
"OTU_6267",0.000187233376401736,0.00153511594444992,4.14821230716517e-05,0.000265615187660265
"OTU_3642",0.00037640056671734,0.00166122454387706,8.66135498353705e-05,0.000389609661355607
"OTU_7115",0,0,0.000359459685301305,0.00187763235277634
"OTU_1533",0.000458917998989739,0.00186790361259862,3.02721160511841e-05,0.000193836120005717
"OTU_2311",0.000388507508732065,0.00188574304610177,0.000229689267171799,0.00147072891370594
"OTU_303",0.000620547671699624,0.00270123831074658,0.000233053079717039,0.00119725369820063
"OTU_1428",0.0019212171008844,0.00997920018969983,0.00226718032870209,0.0105374396179451
"OTU_1505",0.00213110512687648,0.0127202769964242,0.00609629602892038,0.0300218708435573
"OTU_2208",0.000293934653555627,0.00132650907175798,0.00020293744630573,0.0011799207293279
"OTU_4053",0.000176664966041622,0.000928824266434128,0,0
"OTU_6892",4.23030415630445e-05,0.000284541082234824,0.000472604286504909,0.00224451947229074
"OTU_5750",0.000117349619007486,0.000632693278143484,0,0
"OTU_7047",0.00012537038296924,0.000842102579635544,0,0
"OTU_5594",8.92983755196719e-05,0.000803685379677047,0,0
"OTU_4097",0.000332642605652853,0.00137682486788968,0,0
"OTU_6217",0.000396101097675362,0.00356490987907826,0,0
"OTU_2152",0.00142534728101889,0.00593540239103962,0.000648599274530557,0.00261512071595856
"OTU_7106",0.000102498688087982,0.000715393743407594,0,0
"OTU_4744",5.53069475513717e-05,0.000359348716128746,0,0
"OTU_6232",8.33709060873783e-05,0.000488597523586028,0,0
"OTU_1511",0.00159136002173326,0.00587354081320649,0.00370351531264966,0.00974000867800322
"OTU_6559",3.47212999376926e-05,0.000312491699439234,0.000126649868252354,0.000670334793010452
"OTU_1726",0.00234007434884152,0.00826640599444771,0.000401414866612746,0.0015236956359815
"OTU_694",0.0154629741914933,0.0307159232423187,0.0850947552979755,0.375435333211294
"OTU_1467",0.00017618226294374,0.000667838185654596,0.00333910227213502,0.0119850448821917
"OTU_936",0.000477595510286518,0.00163949888516161,0.000164228583853637,0.0010515760257525
"OTU_8698",0.000100280496543534,0.000480370229099767,4.30884973102006e-05,0.000275901001481505
"OTU_506",0.00234256072043222,0.0156620284599995,4.30884973102006e-05,0.000275901001481505
"OTU_2305",0.000938196874005303,0.00548289079338948,0,0
"OTU_6332",0.000762237512321363,0.00292317698432922,0,0
"OTU_3202",0.0016855566932205,0.0115352922554454,0,0
"OTU_8422",0.000139355231216209,0.00125419708094588,0,0
