OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean	
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas	36.64910839	1.41E-09	4.32E-08	1.60E-06	0.000230081	8.82E-06	0.000221258
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Kineosporiaceae;g__	28.52967115	9.23E-08	1.21E-06	0.000104269	0.000226829	3.09E-05	0.000195947
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__	27.9596304	1.24E-07	1.50E-06	0.000139976	0.000223577	1.08E-05	0.000212793
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__Ellin6075;g__	33.9545275	5.64E-09	1.23E-07	6.37E-06	0.000219512	2.75E-05	0.000192061
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Actinomycetospora	23.98240205	9.72E-07	8.58E-06	0.001098589	0.00020813	1.37E-05	0.000194405
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas	25.23502245	5.08E-07	4.90E-06	0.000573499	0.000200813	1.81E-05	0.000182676
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__	27.05213234	1.98E-07	2.15E-06	0.000223787	0.000198374	2.35E-05	0.000174845
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes	28.68906247	8.50E-08	1.13E-06	9.60E-05	0.000198374	8.33E-06	0.000190041
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	37.58406455	8.76E-10	3.00E-08	9.89E-07	0.000197561	4.85E-05	0.000149032
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	24.68542476	6.75E-07	6.18E-06	0.000762667	0.00019187	9.31E-06	0.000182556
