OTU	Test-Statistic	P	FDR_P	Bonferroni_P	diabetic_skin_mean	wound_mean
k__Bacteria;p__Chloroflexi;c__SHA-26	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Chloroflexi;c__[Thermobacula]	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Fibrobacteres;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__GN04;c__GN15	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__MVP-21;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__NKB19;c__TSBW08	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__OD1;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__OD1;c__ABY1	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__OD1;c__SM2F11	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__OP3;c__PBS-25	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Planctomycetes;c__	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Planctomycetes;c__BD7-11	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Planctomycetes;c__C6	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Pla3	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Proteobacteria;Other	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__TM6;c__SBRH58	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__Tenericutes;c__RF3	nan	nan	1.0	nan	0.0	0.0
k__Bacteria;p__WS3;c__PRR-12	nan	nan	1.0	nan	0.0	0.0
