OTU	Test-Statistic	P	FDR_P	Bonferroni_P	control_mean	diabetes_mean	taxonomy
OTU_268	11.5658479574	0.000671742492802	0.00275726860418	0.711375299878	4.46913580247	0.707317073171	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU_6753	11.527846711	0.00068561381842	0.00280189963333	0.726065033707	4.22222222222	0.707317073171	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
OTU_646	11.5185133212	0.000689064755311	0.00280189963333	0.729719575875	2.48148148148	0.512195121951	k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__
OTU_1915	11.5145023334	0.000690553167422	0.00280189963333	0.7312958043	2.91358024691	0.658536585366	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
OTU_481	11.4774655683	0.000704451294154	0.00284738137599	0.746013920509	3.87654320988	1.39024390244	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
OTU_2445	11.4667697545	0.00070851726278	0.00285292692503	0.750319781284	2.66666666667	0.219512195122	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_130	11.4559231944	0.000712664750845	0.00285875746646	0.754711971145	2.55555555556	0.512195121951	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
OTU_326	11.4252266942	0.000724535847064	0.00289002206764	0.767283462041	5.13580246914	1.07317073171	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
OTU_1600	11.4170122141	0.000727746339119	0.00289002206764	0.770683373127	2.18518518519	0.268292682927	k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__
OTU_1779	11.4147174105	0.000728645790426	0.00289002206764	0.771635892061	1.24691358025	0.243902439024	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
OTU_1001	11.4016384189	0.000733793603321	0.00289957994745	0.777087425917	7.98765432099	2.75609756098	k__Bacteria; p__Cyanobacteria; c__Nostocophycideae; o__Stigonematales; f__Rivulariaceae; g__Calothrix; s__
OTU_1345	11.3812276137	0.000741900694045	0.00292071685871	0.785672834994	1.8024691358	0.341463414634	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
OTU_1213	11.3646802446	0.000748539627225	0.00293593876012	0.792703465231	1.49382716049	0.390243902439	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__
OTU_37	11.3321538191	0.000761764973614	0.00296887818913	0.806709107057	131.913580247	72.4390243902	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
OTU_609	11.3302539412	0.000762544728465	0.00296887818913	0.807534867445	40.9259259259	20.1219512195	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
OTU_4923	11.3204657228	0.000766574844895	0.00297363648624	0.811802760744	0.901234567901	0.0487804878049	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__
OTU_1183	11.2682921408	0.000788422312501	0.00302858060201	0.834939228939	1.59259259259	0.853658536585	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__Patulibacter; s__
OTU_154	11.2676249567	0.000788705730241	0.00302858060201	0.835239368325	0.728395061728	0.0487804878049	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__
OTU_2142	11.2661833846	0.000789318457182	0.00302858060201	0.835888246156	3.30864197531	0.853658536585	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__
OTU_852	11.2017398664	0.000817206731842	0.00312153631654	0.86542192902	1.03703703704	0.268292682927	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU_7280	11.1966754858	0.000819440128421	0.00312153631654	0.867787095998	0.654320987654	0.0487804878049	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
OTU_1815	11.1348576312	0.000847204325686	0.00321573254803	0.897189380902	2.58024691358	1.0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU_1239	11.1016823846	0.00086249441268	0.00326207708224	0.913381583028	1.83950617284	0.439024390244	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
